id,name,wei,base,count,ename,short,sort,color
0,总,,,0,Generality,GE,0,#ccc
1,肉禽,38.72,,0,Meat,ME,1,#D62728
2,水产品,29.28,,0,Aquatic Product,AQ,2,#2CA02C
3,蛋,4.92,,0,Egg,EG,3,#9467BD
4,豆制品,0.81,,0,Bean Product,BEP,4,#FF7F0E
5,蔬菜及菌菇类,26.27,,0,Vegetable,VE,5,#1F77B4
101,猪肉,84.37921222,,0,Pork,POR,6,#DC453B
102,牛羊肉,15.62078778,,0,Beef,BE,7,#EF9E73
201,鱼,48.943627,,0,Fish,FI,8,#45AA3F
202,虾蟹贝类,51.056373,,0,Shrimp,SH,9,#92CA76
301,鸡蛋（一级）,91.27,,0,Chicken Egg,CHE,10,#A876C9
302,鸭蛋（一级）,8.73,,0,Duck Egg,DE,11,#D095E0
401,豆腐（一级）,64.191128,,0,Bean Curd,BC,12,#FE9022
402,豆腐干（一级）,35.808872,,0,Dried Bean Curd,DBC,13,#FCB149
501,叶菜及白菜类,12.670015,,0,Leafy Vegetable,LV,14,#247AB6
502,瓜菜类,26.229337,,0,Gourd Vegetable,GV,15,#438BC5
503,根茎类,10.682151,,0,Root Vegetable,RV,16,#5896CF
504,茄果类,21.584013,,0,Solanaceous vegetable,SV,17,#71A4DB
505,豆类,13.705796,,0,Bean,BN,18,#8BB2E7
506,甘蓝类,6.371626,,0,Cabbage Vegetable,CA,19,#95B7EC
507,葱蒜类,3.023645,,0,Bulb Vegetable,BV,20,#A5C0F4
508,莴苣及菊苣类,0.711446,,0,Lettuce&Chicory,LC,21,#B4C8FB
509,水生类,5.021971,,0,Aquatic Vegetable,AV,22,#BDCEFA
10101,猪全精肉,47.537194,15.88,370,Pork Lean,PL,23,#E2634E
10102,猪肋条肉,52.462806,14.42,370,Pork Rib,PR,24,#E98060
10201,牛肉,85.799489,30.18,370,Beef,BE,25,#F08086
20101,花鲢鱼,12.949174,4.67,370,Silver Carp,SC,26,#5FB551
20102,草鱼,55.875688,8.02,370,Grass Carp,GC,27,#78BF64
20201,活河虾,59.470739,61.39,370,River Shrimp,RS,28,#ABD489
30101,鸡蛋,100,5.36,370,Chicken Egg,CHE,29,#BC86D5
30201,鸭蛋,100,6.92,370,Duck Egg,DE,30,#E4A4EC
40101,豆腐,100,1.52,370,Bean Curd,BC,31,#FDA035
40201,豆腐干(散装),100,6.24,370,Dried Bean Curd,DBC,32,#FBC15C
50101,芹菜,40.092532,4.2,370,Celery,CELE,33,#297DB9
50102,小白菜,0,2.75,370,Pakchoi,PA,34,#2E7FBB
50103,大白菜,27.719762,1.49,370,Chinese Cabbage,CHC,35,#3482BE
50104,青菜,25.082617,2.12,370,Greens,GR,36,#3985C0
50105,菠菜,7.105089,5.23,370,Spinach,SP,37,#3E88C3
50201,黄瓜,22.764846,4.48,370,Cucumber,CU,38,#488DC8
50203,冬瓜,32.483882,1.72,370,White Gourd,WG,39,#4D90CA
50204,丝瓜,34.760774,5.79,370,Sponge Gourd,SG,40,#5293CC
50301,萝卜,8.5574,2.05,370,Turnip,TU,41,#5D99D1
50302,胡萝卜,14.629637,2.68,370,Carrot,CARR,42,#629BD4
50304,生姜,7.038503,4.69,370,Ginger,GI,43,#679ED6
50305,土豆,54.572096,2.51,370,Potato,PO,44,#6CA1D9
50401,茄子,30.247722,5.8,370,Eggplant,EGP,45,#76A6DE
50402,西红柿,54.679113,4.16,370,Tomato,TO,46,#7BA9E0
50403,青圆椒,9.109021,4.84,370,Bell Pepper,BP,47,#81ACE3
50404,青尖椒,5.964144,4.87,370,Hot Pepper,HP,48,#86AFE5
50502,长豇豆,100,4.86,370,Asparagus Bean,AB,49,#90B4EA
50601,包心菜,14.329217,2.42,370,Cabbage,CAB,50,#9ABAEF
50602,花菜,69.800643,3.65,370,Cauliflower,CAU,51,#9FBDF1
50701,蒜苔,10.227571,4.9,370,Garlic,GAR,52,#AAC2F6
50704,韭菜,42.773591,4.81,370,Leek,LEE,53,#AFC5F9
50801,莴苣笋,100,2.94,370,Celtuce,CEL,54,#B8CBFB
50902,茭白,100,5.48,370,Wild Rice Stem,WRS,55,#C1D1FA
